"English" "French" "Word.type" "Example" "Translation"
"five" "cinq  " "determiner,masculine noun (no distinct plural) " "j'ai cinq minutes, je dois rencontrer quelqu'un à midi " "I have five minutes, I have to meet someone at noon "
"system" "système  " "masculine noun " "j'ai décrit le système idéal " "I described the ideal system "
"to work" "travailler  " "verb " "nous devons travailler ensemble " "we have to work together "
"game" "jeu  " "masculine noun " "nous n'entrons pas dans le jeu de la politique " "we don't enter into the political fray "
"true" "vrai  " "adverb,noun/adjective " "ah, oui, c'est vrai " "oh, yes, that's right "
"to represent" "représenter  " "verb " "il représente bien le sport français " "he represents French sports very well "
"madam, lady" "madame  " "feminine noun " "et je suis au service de madame " "I'm at your service, ma'am "
"society" "société  " "feminine noun " "on vit dans une société où tout s'accélère " "we live in a society where everything is accelerating "
"difficult" "difficile  " "noun/adjective (no distinct feminine) " "c'est difficile, monsieur, très difficile d'être un home " "sir, it's difficult--very difficult--to be a man "
"what" "quoi  " "pronoun " "je ne sais pas de quoi vous parlez " "I don't know what you're talking about "
"enterprise, business" "entreprise  " "feminine noun " "j'ai moi-même l'esprit d'entreprise " "I myself have an entrepreneurial spirit "
"coup, blow, knock, stroke" "coup  " "masculine noun " "je lui donne juste un coup de main. je le lui dois " "I'm just giving him a helping hand. I owe it to him "
"gold; hence, thus" "or  " "conjunction,masculine noun " "je ne suis pas chercheuse d'or " "I'm not a gold-digger "
"social" "social  " "noun/adjective " "elle a une dimension sociale autant que biologique " "it has a social dimension as much as a biological one "
"to assure, insure" "assurer  " "verb " "le contrat assure une pension à l'époux survivant " "the contract guarantees a pension to the surviving spouse "
"to try" "essayer  " "verb " "je vais essayer de vous convaincre " "I'll try to convince you "
"just, only; fair" "juste  " "adverb,noun/adjective (no distinct feminine) " "vous êtes juste et impartial, comme toujours " "you're fair and impartial, as always "
"foreigner; foreign" "étranger  " "noun/adjective " "la situation est bien différente à l'étranger " "the situation is very different abroad "
"to prevent" "empêcher  " "verb " "cela n'aurait évidemment rien empêché " "apparently that wouldn't have prevented anything "
"million" "million  " "masculine noun " "un quart de million d'articles ont été distribués " "a quarter million articles were distributed "
"manner, way" "manière  " "feminine noun " "de cette manière, nous serons ensemble " "this way, we will be together "
"to go out, leave" "sortir  " "verb " "sortez ou j'appelle la police " "get out of here or I'll call the police "
"price; prize" "prix  " "masculine noun (no distinct plural) " "il y a un prix pour les gagnants " "there is a prize for the winners "
"term, deadline" "terme  " "masculine noun " "l'éducation sur le long terme paiera " "education will pay off in the long term "
"a long time, a long while" "longtemps  " "adverb " "pendant longtemps il ne bougea pas de son lit " "for a long while he didn't move from his bed "
"to resume, recover, start again, take back" "reprendre  " "verb " "on peut les arrêter, leur reprendre cette ville " "we can arrest them, take back this city from them "
"current" "courant  " "adjective,masculine noun " "je suis au courant, il a téléphoné " "I'm aware of it, he telephoned "
"interest" "intérêt  " "masculine noun " "l'avenir ne présente guère d'intérêt " "the future is hardly interesting "
"to lead" "mener  " "verb " "la police mène une enquête pour arrêter les assaillants " "the police are leading an investigation to arrest the attackers "
"information" "information  " "feminine noun " "ces dirigeants ont décidé de taire ces informations " "these leaders decided to suppress this information "
"detail" "détail  " "masculine noun " "vous devriez tout me raconter en détails " "you should tell me everything in minute detail "
"to belong" "appartenir  " "verb " "cet argent n'appartient pas au gouvernement " "this money does not belong to the government "
"liberty, freedom" "liberté  " "feminine noun " "on se bat pour la liberté d'expression " "we're fighting for freedom of expression "
"enough" "assez  " "adverb " "les journées ne sont plus assez longues " "the days are no longer long enough "
"to risk" "risquer  " "verb " "un avocat ne viendra pas risquer sa vie " "a lawyer won't come here to risk his life "
"each" "chacun  " "pronoun " "ils ont chacun leurs intérêts, leurs passions " "they each have their own interests, passions "
"to concern" "concerner  " "verb " "en ce qui me concerne, je voudrais te féliciter " "for my part, I would like to congratulate you "
"house" "maison  " "feminine noun " "elle est revenue habiter à la maison " "she came back to live at home "
"first of all" "d'abord  " "adverb " "je voudrais d'abord savoir quel métier tu exerces " "I would first of all like to know what you do for a living "
"to learn" "apprendre  " "verb " "où as-tu appris le métier? " "where did you learn your trade? "
"level" "niveau  " "masculine noun " "ce niveau de collaboration ne sera pas maintenu " "this level of cooperation will not be maintained "
"to meet" "rencontrer  " "verb " "il rencontrera le pape au Vatican vendredi " "he will meet the Pope at the Vatican on Friday "
"your; tone" "ton  " "determiner,masculine noun " "le ton était donné " "the tone was sounded "
"work, task" "œuvre  " "feminine noun " "peu d'auteurs font référence à son œuvre " "few authors cite his work "
"to create" "créer  " "verb " "des malentendus nous créent des problèmes terribles " "misunderstandings create horrible problems for us "
"state" "état  " "masculine noun " "la police était en état d'alerte maximum " "the police were in a full state of emergency "
"to get, obtain" "obtenir  " "verb " "j'essaierai d'obtenir la réponse pour demain " "I will try to get the answer for tomorrow "
"clear" "clair  " "adverb,noun/adjective " "la nuit était froide et claire, sous la lune " "the night was cold and clear, under the moon "
"to look for" "chercher  " "verb " "je ne cherche pas la richesse " "I am not seeking riches "
"to enter, go in, come in" "entrer  " "verb " "faut trouver le moyen d' entrer dans le sous-sol " "got to find the way to enter into the basement "
"to propose" "proposer  " "verb " "le jeune Français propose une promenade au parc " "the young Frenchman proposed a stroll through the park "
"to bring" "apporter  " "verb " "je vous ai apportée des fleurs de mon jardin " "I brought you flowers from my garden "
"program" "programme  " "masculine noun " "utilisons ce programme comme il se doit " "let's use this program the way it should be "
"far" "loin  " "adverb,masculine noun " "tu es venu de si loin " "you came from so far away "
"line" "ligne  " "feminine noun " "il ne compte qu'une seule ligne de texte " "it only has a single line of text "
"head" "tête  " "feminine noun " "ma tête me gratte " "my head is itchy "
"free" "libre  " "adjective (no distinct feminine) " "demain je suis libre toute la journée " "tomorrow I'm free all day "
"to use" "utiliser  " "verb " "il utilisait une sorte de rasoir " "he was using some type of razor "
"to reach" "atteindre  " "verb " "leur fortune atteindrait des milliards " "their fortune would reach billions "
"to tempt, try" "tenter  " "verb " "il tente de sortir de l'Italie " "he tried to leave Italy "
"late" "tard  " "adverb " "retournez au lit, il est tard " "go back to bed, it's late "
"at last, finally" "enfin  " "adverb " "elle avait enfin la réponse " "she finally got the answer "
"different" "différent  " "adjective " "c'est un bruit complètement différent " "it's a completely different noise "
"sort, kind" "sorte  " "feminine noun " "la boisson est une sorte de drogue " "liquor is a kind of drug "
"however" "cependant  " "adverb,conjunction " "cette sécurité se trouve cependant menacée " "this security is, however, threatened "
"subject, topic" "sujet  " "masculine noun " "je cherchais un sujet de mémoire " "I was looking for a thesis topic "
"to import; to be important" "importer  " "verb " "il importait de ne pas répéter l'erreur " "it's important to not repeat the mistake "
"action" "action  " "feminine noun " "le président devrait éviter des actions irréfléchies " "the president should avoid rash actions "
"relationship" "relation  " "feminine noun " "il y a là une relation intéressante à explorer " "now there is an interesting relationship to explore "
"research, search" "recherche  " "feminine noun " "la recherche en santé peut se révéler extrêmement bénéfique " "health research can be extremely beneficial "
"book" "livre  " "masculine noun,feminine noun " "je me mis à feuilleter les livres " "I began paging through the books "
"to add" "ajouter  " "verb " "il ajouta à sa lettre une note " "he added a note to his letter "
"elsewhere, somewhere else" "ailleurs  " "adverb " "les négociations décisives se tiennent ailleurs " "the decisive negotiations are taking place elsewhere "
"truly, really, very" "vraiment  " "adverb " "très mauvais, c'est pas vraiment sexy " "very bad, it's not really sexy "
"doubt" "doute  " "masculine noun " "il n'y a sans doute rien à voir " "without a doubt, there's nothing to see "
"rest" "reste  " "masculine noun " "c'est tout. le reste, je m'en fous " "that's all. for the rest, I couldn't give a sh*t "
